;age;sex;marital-status;native-country;race;education;hours-per-week;capital-gain;workclass
0;39;Male;Never-married;United-States;White;Bachelors;40;2174;State-gov
1;50;Male;Married-civ-spouse;United-States;White;Bachelors;13;0;Self-emp-not-inc
2;38;Male;Divorced;United-States;White;HS-grad;40;0;Private
3;53;Male;Married-civ-spouse;United-States;Black;11th;40;0;Private
4;28;Female;Married-civ-spouse;Cuba;Black;Bachelors;40;0;Private
5;37;Female;Married-civ-spouse;United-States;White;Masters;40;0;Private
6;49;Female;Married-spouse-absent;Jamaica;Black;9th;16;0;Private
7;52;Male;Married-civ-spouse;United-States;White;HS-grad;45;0;Self-emp-not-inc
8;31;Female;Never-married;United-States;White;Masters;50;14084;Private
9;42;Male;Married-civ-spouse;United-States;White;Bachelors;40;5178;Private
10;37;Male;Married-civ-spouse;United-States;Black;Some-college;80;0;Private
11;30;Male;Married-civ-spouse;India;Asian-Pac-Islander;Bachelors;40;0;State-gov
12;23;Female;Never-married;United-States;White;Bachelors;30;0;Private
13;32;Male;Never-married;United-States;Black;Assoc-acdm;50;0;Private
15;34;Male;Married-civ-spouse;Mexico;Amer-Indian-Eskimo;7th-8th;45;0;Private
16;25;Male;Never-married;United-States;White;HS-grad;35;0;Self-emp-not-inc
17;32;Male;Never-married;United-States;White;HS-grad;40;0;Private
18;38;Male;Married-civ-spouse;United-States;White;11th;50;0;Private
19;43;Female;Divorced;United-States;White;Masters;45;0;Self-emp-not-inc
20;40;Male;Married-civ-spouse;United-States;White;Doctorate;60;0;Private
21;54;Female;Separated;United-States;Black;HS-grad;20;0;Private
22;35;Male;Married-civ-spouse;United-States;Black;9th;40;0;Federal-gov
23;43;Male;Married-civ-spouse;United-States;White;11th;40;0;Private
24;59;Female;Divorced;United-States;White;HS-grad;40;0;Private
25;56;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;Local-gov
26;19;Male;Never-married;United-States;White;HS-grad;40;0;Private
28;39;Male;Divorced;United-States;White;HS-grad;80;0;Private
29;49;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
30;23;Male;Never-married;United-States;White;Assoc-acdm;52;0;Local-gov
